Title,Categories,Servings,Ingredients,Generated Recipe - Baseline 1,Generated Recipe - Baseline 2,Generated Recipe - Extended 1,Generated Recipe - Extended 2,
crystallized flowers,mixes,1 servings,"edible flowers -- or herbs	(fresh-dry-insect-free	egg whites	superfine granulated sugar",fold sugar if whites if and separate flour or before combined blend cookie crumbs blend hot vanilla if nonmetallic shortening or circle if foods crumbs parchment time unglazed blend hot grease evenly if whites and improvise combine stores blend cookie crumbs blend hot grease temperature over blend cookie crumbs blend nuts moist or dozen cracked blend to flour or run edge beat eggs occasionally on ingredients blend <EOS>,,,,
currant pound cake,"breads	desserts",12 servings,"1 1/2 c  currants	1 lb butter	2 c  sugar	1 ts mace	9    eggs,fold rest over flour or degress dark wish cherries blend help cups hours blend nuts moist or dozen cracked blend form and x9 blend <EOS>,,,,,
curried broccoli soup,soups/stews,4 servings,"2 lb broccoli	salt	3 3/4 c  chicken stock	1 tb butter or vegetable oil	1 md onion,fold rest over flour or combined blend cookie crumbs blend form and granules shortening decrease tbsp that blend <EOS>, inely chopped",,,,,
curried cabbage  arame,"vegetables	side dish",4 servings,"1 c  eden arame	1 c  water	1 tb eden toasted sesame oil	2 c  cabbage,fold rest over flour or combined blend cookie crumbs blend form and granules shortening decrease tbsp that blend <EOS>, minced",,,,,
curried pork rice,"pork/ham	low fat	freezes wel",4 servings,"12 oz boneless pork sirloin	1 lg apple	1/4 c  chopped onion	1 1/2 ts curry powder	1/2 ts salt	1/8 ts ground ginger	1 tb cornstarch	2 c  skim milk	3/4 c  quick-cooking rice	1/4 c  raisins",as eggs combine which speed blend fold evenly if whites and improvise flour or combined blend cookie crumbs blend hot evenly if whites and improvise blend cookie crumbs blend hot evenly and whites blend cookie crumbs blend hot evenly and cookie crumbs blend hot evenly and cookie crumbs blend hot evenly and cookie crumbs blend hot evenly and whites blend cookie crumbs blend hot combine greased about blend cookie crumbs blend hot combine greased about blend to flour run edge am have eggs occasionally on ingredients blend wi th eggs and corn peaks blend make aside heavy cream blend <EOS>,,,,
curry-lime dip,"appetizers	dips",4 servings,"4 tb lime juice	2 tb dijon mustard	1 ts garlic; minced	1 c  mayonnaise	1 x  cayenne pepper to taste	1 tb curry powder",as eggs combine which speed blend fold evenly if whites and improvise flour or combined blend cookie crumbs blend hot evenly if whites and improvise blend cookie crumbs blend hot evenly and whites blend cookie crumbs blend hot evenly and cookie crumbs blend hot evenly and cookie crumbs blend hot evenly and cookie crumbs blend hot evenly and whites blend cookie crumbs blend hot combine greased about blend cookie crumbs blend hot combine greased about blend to flour run edge am have eggs occasionally on ingredients blend wi th eggs and corn peaks blend make aside heavy cream blend <EOS>,,,,
dans buffalo wings,"poultry	meats	appetizers",3 servings,"25    chicken wing joints	2 tb margerine	1 c  louisiana hot sauce (tabasco	or durkee are traditional)	1 tb vinegar	1/2 ts garlic powder",as eggs combine minutes speed blend to shortening minutes speed occasionally on ingredients blend wi th eggs and corn peaks blend too moist completely blend <EOS>,,,,
danas new traditional relish,"sauces	holiday	fruits",4 servings,"1    part cranberries	2    parts apples 	1    sugar",as eggs combine minutes have bread grease melted flour or stirring combined blend hot grease sugar if whites and improvise blend cookie crumbs blend hot grease temperature over blend cookie crumbs blend nuts moist or dozen cracked blend to flour or run edge beat eggs occasionally on ingredients blend wi th eggs and corn peaks blend wi th eggs and corn peaks blend wi th eggs and corn peaks blend wi th eggs and corn peaks blend wi th eggs and corn peaks blend wi th eggs and corn peaks blend wi th eggs and corn peaks blend wi th eggs and corn peaks blend wi th eggs and corn peaks blend wi th eggs and corn peaks blend wi th eggs and corn peaks blend wi th eggs and corn peaks blend wi th eggs and corn peaks blend wi th eggs and corn peaks blend wi th eggs,,,,
dark almond macaroons covered pine nuts,cookies,32 cookies,"12 oz almonds,as eggs combine minutes have bread grease done flour or from softens avoid blend untill aside grease work blend to flour or run edge beat eggs occasionally on ingredients blend wi th eggs and corn peaks blend too grease coke moist completely blend <EOS>, confectioner's	1 ts vanilla extract	2 tb honey	2    egg whites	2 c  pine nuts",,,,,
dark chocolate cheesecake,"chocolate	cheesecakes",16 servings,"karen adler   (fngp13b)	vanilla cookie crust (see	index)	5    squares simisweet chocolate	3 pk (8-oz each) cream	cheese; softened	3/4 c  sugar	3    whole; smilin' eggs	1 ts vanilla	1 c  dairy sour cream",as eggs combine minutes have bread grease done flour or from softens avoid blend untill aside grease work blend to flour or run edge beat eggs occasionally on ingredients blend wi th eggs and corn peaks blend too grease coke moist completely blend <EOS>,,,,
chocolate yogurt cheesecake,"cakes	dairy	desserts	cheesecakes",10 servings,"1 c  chocolate wafer crumbs	1/4 c  butter; melted	16 oz cream cheese; softened	1 c  sugar	3    eggs	1 1/2 ts vanilla	6 oz semisweet chocolate; melted and cooled	8 oz yogurt; plain	3 oz semisweet chocolate	2 tb butter	1 tb light corn syrup	1/2 ts vanilla",as eggs combine minutes have bread grease done flour or from softens avoid blend to flour or run minutes have eggs occasionally been frothy ingredients blend wi th eggs and corn peaks blend too grease coke moist completely and make aside grease hr maker blend <EOS>,,,,
chorizo con huevos,,4 servings,"2 tb oil	1 lb homemade chorizo	1    white onion -- chopped	2    serrano chilies -- chopped	8    eggs	1/2 bn cilantro -- leaves chopped	4    flour tortillas	1    avocado mashed	1/2 c  fresh salsa",as eggs combine minutes have bread grease done flour or from softens avoid blend to flour or run minutes have eggs occasionally been frothy ingredients blend wi th eggs and corn peaks blend too grease coke moist completely and make aside grease hr maker blend <EOS>,,,,
chow mein noodles,"asian	chow mein #	noodles",4 servings,"1 lb all-purpose flour	4    whole eggs	1/2 ts salt	1 1/4 ts white vinegar",fold rest over flour or degress dark wish cherries blend in crumbs blend hot combine grease about blend form and x9 blend <EOS>,,,,
chupe de camarones shrimp chowder,"soups	seafood	peruvian",6 servings,"3 tb salad oil	2 cl garlic; peeled,as eggs combine minutes have bread grease done flour or combined and hot grease sugar blend cookie crumbs blend hot grease temperature over and cookie crumbs blend nuts moist or dozen cracked blend to occasionally on ingredients if dark cups grease done ball squeeze blend corn peaks blend <EOS>, chopped	2 lg tomatoes; cut into eighths	2 sm raw potato cubes	1/2 ts ground chili pepper	1 1/2 ts seasoned salt	2 ts salt	1/4 ts crushed red pepper	few drops tabasco	;water	1 1/4 c  milk	3 md flounder fillets	1/4 c  cream cheese ( 2 oz)	1/2 lb raw shrimp; shelled and cleaned	12 oz can whole-kernel corn	few sprigs fresh mint",,,,,
cider bugs,"gift	fruits",1 recipe,"oranges; halved; pulp	removed	brown sugar	cinnamon sticks	whole nutmeg	2    whole clove	tissue paper	<<<or>>>	colored plastic wrap",as eggs combine minutes have bread grease done flour or combined and hot grease sugar blend cookie crumbs blend hot grease temperature over and cookie crumbs blend nuts moist or dozen cracked blend to occasionally on ingredients if dark cups grease done ball squeeze blend corn peaks blend <EOS>,,,,
cinnamon apple mince muffins,"breads	desserts",18 servings,"2 c  unsifted flour	1/3 c  sugar	1 tb baking powder	1/2 ts ground cinnamon (or more)	1/2 ts salt	1    egg	3/4 c  apple juice	1/3 c  vegetable oil	1 1/3 c  ready-to-use mince filling	1 c  apples,as eggs combine minutes speed blend fold evenly if whites and softens egg blend cookie crumbs blend hot evenly and whites and cookie crumbs blend hot evenly and whites and cookie crumbs blend hot evenly and whites blend cookie crumbs blend hot evenly and whites blend cookie crumbs blend hot evenly and whites blend cookie crumbs blend hot evenly and whites blend cookie crumbs blend hot evenly and whites blend cookie crumbs blend hot evenly and whites blend cookie crumbs blend hot evenly and whites blend cookie crumbs blend hot evenly and whites blend cookie crumbs blend hot evenly and whites blend cookie crumbs blend hot evenly and whites blend cookie crumbs blend hot evenly and whites blend cookie crumbs blend hot evenly and whites blend cookie crumbs blend hot evenly and whites blend cookie crumbs blend hot evenly and whites blend cookie crumbs blend hot evenly and whites blend,,,,
cinnamon pepper chicken,poultry,1 servings,1    whole fryer	1 1/2 ts salt	1/2 ts cayenne pepper	1 ts black pepper	1 ts cinnamon	1 ts allspice""",fold rest over flour or degress dark wish cherries blend help cups hours blend nuts while grease done and to occasionally shredded ingredients blend wi th eggs and corn peaks blend make aside heavy cream blend <EOS>,,,,
cinnamon-almond butter cookies,cookies,"3 dozen. larry rosenberg, author of muffins & cupcakes",notes easy and burning flour or stirring corporation inverted blend hot grease easy and notes cups grease coke ball fig blend hot grease frequenntly and notes cups grease coke ball fig blend hot grease frequenntly and creamy cups grease coke ball fig and grease coke ball fig blend hot grease leek and grease temperature over and creamy if lightly rows if cups grease wjuices ball remaining dish combine form and creamy cups grease done ball sauceblend if been tbsp ingredients blend hot grease supermarkets if and grease whites and leftovers if ans if occasionally been on ingredients blend wi th low and batte twelve occasionally slightly ingredients blend hot grease leek and grease temperature over blend form and leftovers occasionally been on ingredients blend wi th low and batte twelve occasionally slightly ingredients blend wi th low and batte twelve occasionally slightly ingredients blend wi th low and batte twelve,"softened	1 ts almond extract	1/8 ts salt	1/2 c  sugar"," divided	1    egg white"," slightly beaten	1/8 ts ground cinnamon	1/3 c  almonds""",,
cinnamon-spiced tea,"thai	beverages",4 servings,"8    chinese-style red or black tea bags or:	1/4 c  regular black tea	4 c  boiling water	ground cinnamon	1/2 c  sweetened condensed milk",notes easy and burning flour or stirring corporation inverted blend hot grease easy and notes cups grease coke ball fig blend hot grease frequenntly and notes cups grease coke ball fig blend hot grease frequenntly and creamy cups grease coke ball fig and grease coke ball fig blend hot grease leek and grease temperature over and creamy if lightly rows if cups grease wjuices ball remaining dish combine form and creamy cups grease done ball sauceblend if been tbsp ingredients blend hot grease supermarkets if and grease whites and leftovers if ans if occasionally been on ingredients blend wi th low and batte twelve occasionally slightly ingredients blend hot grease leek and grease temperature over blend form and leftovers occasionally been on ingredients blend wi th low and batte twelve occasionally slightly ingredients blend wi th low and batte twelve occasionally slightly ingredients blend wi th low and batte twelve,,,,
citrus crusted shrimp ginger starfruit  rum,"fish	new america	healthy and",4 servings,"12    large shrimp	2    lemons; zested and juiced	2    lime; zested and juiced	1    jalapeno pepper; diced	1 tb white peppercorns; crushed	1 tb coarse salt	2 tb brown sugar	1 tb olive oil	1 ts sliced ginger root	2    starfruit; sliced crosswise	2 oz rum",fold rest over flour or degress dark wish cherries blend in crumbs blend form and x9 blend <EOS>,,,,
classic torani italian cream soda,beverages,1 servings,"1 oz cold milk	1 oz to 1 1/2 oz peach or other flavor of syrup	ice	9 oz sparkling water	fresh fruit or half and half for garnish",fold rest over flour or degress dark wish cherries blend help cups hours blend hot combine grease inverted blend form and creamy while cooled low occasionally been on ingredients blend wi th low and batte twelve occasionally slightly ingredients blend wi th low and batte twelve flour or bourbon bread blend bread flour or from softens avoid blend form and creamy along cooled occasionally been tbsp ingredients blend wi th low and batte twelve occasionally slightly ingredients blend wi th mrs and corn along stiff blend bread flour or from softens avoid blend form and creamy along cooled occasionally been tbsp that blend prudhomme and bread flour or from avoid blend form and batte twelve occasionally slightly ingredients blend prudhomme and bread flour or from avoid blend form and batte twelve occasionally slightly ingredients blend prudhomme and bread flour or from avoid blend form and batte twelve occasionally slightly ingredients,,,,
cobble corn chili tacos,"mexican	hamburger	chili	beans	beef",6 servings,"12    taco shells	1 lb ground beef	1 pk chili seasoning mix	1 cn (17 oz) whole kernel	sweet corn	1 cn (14 1/2 oz) stewed tomatoes	1 cn (8 oz) tomato sauce	2 tb instant minced onion	1 c  sliced celery	shredded cheddar cheese	shredded lettuce",fold rest over flour or degress dark wish cherries blend help cups hours blend nuts while grease done and form aside grease watkins blend form and granules occasionally slab that blend <EOS>,,,,
cocktail meat balls,"main dish	meats	appetizers	microwave",10 servings,"1 1/2 lb lean ground beef round	1    egg	1/2 c  fine dry bread crumbs	1/2 c  water	12 oz bottle chili sauce	6 oz grape jelly	2 tb lemon juice",as eggs combine minutes have bread grease done flour or from softens avoid blend untill aside grease whites and improvise blend to flour or run minutes have eggs occasionally on ingredients if dark cups grease done ball sauceblend blend wi th eggs and corn along stiff blend wi th eggs and batte twelve occasionally slightly ingredients blend wi th low and corn along or till stiff blend wi th eggs and corn along stiff blend wi th eggs and corn along stiff blend wi th eggs and batte twelve occasionally slightly ingredients blend wi th low and corn along or till stiff blend wi th eggs and corn along stiff blend wi th low and batte corn blend bread flour or from softens avoid blend untill aside grease temperature upside blend to flour or run minutes beat eggs occasionally on ingredients blend wi th eggs and corn along stiff blend,,,,
sep-dinner fresh pear ice cream,"dairy	fruits	desserts",4 cups,"1 1/2 c  whipping cream	3/4 c  granulated sugar	4    egg yolks,as eggs combine minutes have bread grease melted flour or combined and add cups hours blend hot grease sugar if whites and baked blend cookie crumbs blend hot grease temperature over and cookie crumbs blend nuts moist or dozen cracked blend to occasionally on ingredients blend wi th eggs and corn peaks blend wi th eggs and corn peaks blend wi th eggs and corn peaks blend wi th eggs and corn peaks blend wi th eggs and corn peaks blend wi th eggs and corn peaks blend wi th eggs and corn peaks blend wi th eggs and corn peaks blend wi th eggs and corn peaks blend wi th eggs and corn peaks blend wi th eggs and corn peaks blend wi th eggs and corn peaks blend wi th eggs and corn peaks blend wi th eggs and corn peaks blend wi th eggs and corn peaks,,,,
shatta,sauces	seasonings""",1 1/2 cups.,"small red chili peppers	1 c  parsley; chopped	1 c  fresh cilantro; chopped	1 1/2 tb garlic; ground or minced	1 ts each salt and pepper	1 ts cumin	2 tb olive oil",fold rest over flour or degress dark wish cherries blend help cups hours blend hot combine grease inverted blend form and creamy while cooled low occasionally been on ingredients blend wi th low and batte twelve occasionally slightly ingredients blend wi th low and batte twelve flour or bourbon bread blend bread flour or from softens avoid blend form and batte twelve occasionally slightly ingredients blend wi th low and batte twelve occasionally slightly ingredients blend wi th low and batte twelve occasionally slightly ingredients blend wi th low and batte twelve flour or bourbon bread blend bread along or stiff flour or from softens avoid blend form and batte twelve occasionally slightly ingredients blend wi th low and batte twelve occasionally slightly ingredients blend wi th low and batte twelve flour or bourbon bread blend bread along or stiff flour or from softens avoid blend form and batte twelve,,
shellys meatloaf,"meats	beef",8 servings,"from: gaye levy  dtxt63a	2 lb lean ground beef	2 c  fresh bread crumbs	1/2 c  milk	1/2 c  minced onion	2    carrots; shredded or chopped	2    eggs	1/4 ts pepper	4 tb a1 sauce",as eggs combine minutes have bread grease done flour or from softens avoid blend untill aside grease work blend to flour or run edge beat eggs occasionally on ingredients blend wi th eggs and corn peaks blend wi th eggs and corn peaks blend wi th eggs and corn peaks blend wi th eggs and corn peaks blend fold grease temperature over flour or combined and nuts while grease done blend to occasionally on ingredients if would aside grease mrs blend <EOS>,,,,
shredded beef enchiladas,"mexican	meats	main dish",6 servings,"2 lb boneless beef chuck	1/4 c  water	3 tb red wine vinegar	1 1/2 c  beef broth (canned is fine)	2 tb chili powder	1 1/2 ts ground cumin	salad oil	1    small onion,fold rest over flour or degress dark wish cherries blend help cups hours blend nuts moist or dozen level avoid blend form and granules shortening decrease thick that blend <EOS>,,,,
shrimp croustades,seafood	appetizers	microwave""",4 dozen,"1    loaf bread	1/2 c  butter,fold rest over flour or degress dark wish cherries blend help cups hours blend nuts moist or dozen level avoid blend form and granules shortening decrease thick that blend <EOS>, grated	1    green onion, minced	1    tin salad shrimp; rinse	1/2    lemon, zest portion	2 ts lemon juice	1 tb parsley, minced	ds worcestershire sauce	ds tabasco	ds salt	ds pepper	ds paprika",,,
shrimp teriyaki style,seafood,12 servings,"1/2 c  soy sauce	1/2 c  olive oil	1/2 c  sherry	2 tb lemon juice or vinegar	1/2 ts garlic salt	1/2 ts ground ginger	1/4 ts ground rosemary	1/4 ts ground thyme	1/4 ts ground oregano	1/4 ts ground marjoram	2 lb shrimp,fold grease bottom if sugar if whites and separate flour or before combined blend hot grease temperature over if only crumbs blend form and x9 blend <EOS>,,,,
simple orange muffins,breads	vegetarian""",12 muffins,"1 lg orange	1 oz tofu	3/4 c  sugar; (less if desired)	3 tb oil	1/2 c  water or orange juice	2 c  flour	1 ts baking soda	1 ts cream of tartar	1/4 ts salt",fold rest over flour or degress dark wish cherries blend help cups hours blend nuts moist or dozen cracked blend to shortening minutes speed occasionally on ingredients blend <EOS>,,
simple sloppy joes,"sandwich	beef	quick",12 servings,"2 lb beef	4 cn manwhich; (ready made sauce)	2 md onions; diced	2    celery rib; diced	garlic; minced or powder	salt and pepper",as eggs combine minutes have bread grease dough flour or stirring combined blend hot grease temperature over and cookie crumbs blend form and batte loaves cups tearing blend to flour or run edge beat eggs occasionally on ingredients blend batte twelve occasionally slightly ingredients blend wi th low and batte corn blend wi th eggs and batte twelve occasionally slightly ingredients blend wi th low and batte corn blend wi th eggs and batte twelve occasionally slightly ingredients blend wi th low and batte corn blend wi th eggs and batte twelve occasionally slightly ingredients blend wi th low and batte corn blend wi th eggs and batte corn blend bread flour or combined and batte loaves cups tearing blend <EOS>,,,,
simulated instant beef gravy packet,sauces,4 servings,"2 tb flour	1 tb beef flavor base	1/2 ts cornstarch	1 tb ketchup	1 ts mixed vegetable powder	1 pn garlic powder	1 pn onion powder	1    healthy twist of fresh pepper	1 c  water (or milk)",as eggs combine minutes have bread grease dough flour or stirring combined blend hot grease sugar if whites and improvise blend cookie crumbs blend hot grease temperature over and cookie crumbs blend form and batte loaves cups tearing blend to flour or run edge beat eggs occasionally on ingredients blend batte corn combine one hour blend <EOS>,,,,
siopow steamed dumplings,"appetizers	pork	chinese",30 servings,"1    wrapper recipe	1 c  water	1 tb oil	1/4 ts salt	1 c  chopped shrimp	1/4 c  ground pork	1 c  minced water chestnuts	1/4 c  minced scallions	1/4 c  minced onions	1    egg	1 ts pepper	1 ts salt",fold rest over flour or degress dark wish cherries blend in crumbs blend form and granules cups carrot combine ings blend <EOS>,,,,
sister marys zesty carrots,vegetables,6 servings,"6    carrots	2 tb grated onion	2 tb horseradish	1/2 c  mayonnaise	1 ts salt	1/4 ts pepper	1/4 c  water	1/4 c  buttered bread crumbs",fold rest over flour or degress dark wish cherries blend in crumbs blend hot combine grease about blend form and x9 blend <EOS>,,,,
skewered steak  mushrooms asian flavors,"asian	beef	grill",4 servings,"1 lb medium fresh white mushrooms	1 lb flank steak	1/2 c  ketchup	2 tb light soy sauce	optional: 2 teaspoons sesame  oil	2    cloves garlic; minced	1 c  snow peas (about 18); halved	1 c  sweet red or yellow pepper; cut into squares	1/4 c  sesame seeds",fold rest over flour or degress dark wish cherries blend help cups hours blend nuts while grease done and form and granules occasionally shortening decrease tbsp that blend <EOS>,,,,
skordalia,"greek	sauces",6 servings,"4 md potatoes	6    garlic cloves (or more!)	1/2 c  olive oil	1/3 c  white vinegar	1 pn salt",as eggs combine minutes have bread grease done flour or from softens avoid blend untill aside grease work blend to flour or run edge beat eggs occasionally on ingredients blend wi th eggs and corn peaks blend wi th eggs and batte twelve occasionally slightly ingredients blend wi th eggs and corn peaks blend wi th eggs and corn peaks blend wi th eggs and corn peaks blend wi th eggs and corn peaks blend wi th eggs and corn peaks blend wi th eggs and corn peaks blend wi th eggs and corn peaks blend wi th eggs and corn peaks blend wi th eggs and corn peaks blend wi th eggs and corn peaks blend wi th eggs and corn peaks blend wi th eggs and corn peaks blend wi th eggs and corn peaks blend wi th eggs and corn peaks blend wi th eggs and corn,,,,
smoked turkey,"turkey	smoker",1 bird,1    method,glen and pepper grease liquid blend bread grease liquid flour or stirring combined blend hot grease temperature over and cookie crumbs blend form and granules cups carrot combine make blend <EOS>,,,,
smothered noodles,"side dish	thai	vegetarian",6 servings,"1 3/4 lb fresh gwit dio =-or=-	10 oz rice vermicelli	1/2 lb broccoli	1 tb salty brown bean paste	3 tb cornstarch dissolved in	4 tb water	1 tb sugar	1 tb soy sauce	1/2 ts pepper	1/2 ts salt	3/4 c  vegetable oil	3 tb thick chinese soy sauce	1 tb garlic,flour or stirring combined if fold grease evenly if whites and improvise blend cookie crumbs blend hot grease temperature over and cookie crumbs blend form and granules cups carrot combine ings blend make aside or hatch plunge blend <EOS>,,,,,
snacks-to-go beef burritos,"beef	appetizers	mexican",10 servings,"10    6 or 7-inch tortillas,fold sugar if whites and separate flour or raisins blend last combine or nut if raisin low combine cooled and leftovers if ans if cups sauceblend if been tbsp ingredients blend wi th low and batte corn blend wi th low and corn blend fold butter and sugar blend hot vanilla and nonmetallic shortening or circle blend hot vanilla and nonmetallic shortening or circle blend cookie crumbs blend hot combine greased about blend cookie crumbs blend hot combine greased about blend nuts moist or dozen cracked blend to shortening minutes speed occasionally on ingredients blend wi th eggs and corn peaks blend wi th eggs and corn peaks blend wi th eggs and corn peaks blend wi th eggs and corn peaks blend wi th eggs and corn peaks blend wi th eggs and corn peaks blend wi th eggs and corn peaks blend wi th eggs and corn peaks, shredded	2 tb olive oil	1    onion, chopped	2    garlic cloves, minced	2 ts dried coriander	19 oz canned red kidney beans	1/4 ts pepper	2 ts olive oil	1    onion, chopped	2    garlic cloves, minced	1 1/2 ts chili powder	1/2 lb lean ground beef	1 tb tomato paste	1 ts dried oregano	1/4 ts salt	1/4 ts pepper",,,,,
snowy apricot bars,cookies,75 cookies,"6 oz dried apricots	1/2 c  firm butter	1/2 c  granulated sugar	2 1/2 c  bisquick baking mix	2 c  packed brown sugar	4    eggs,fold sugar if whites and separate flour or raisins blend last combine or nut if raisin low combine cooled and leftovers if ans if cups sauceblend if been tbsp ingredients blend wi th low and batte corn blend wi th low and corn blend fold butter and sugar blend hot vanilla and nonmetallic shortening or circle blend hot vanilla and nonmetallic shortening or circle blend cookie crumbs blend hot combine greased about blend cookie crumbs blend hot combine greased about blend nuts moist or dozen cracked blend to shortening minutes speed occasionally on ingredients blend wi th eggs and corn peaks blend wi th eggs and corn peaks blend wi th eggs and corn peaks blend wi th eggs and corn peaks blend wi th eggs and corn peaks blend wi th eggs and corn peaks blend wi th eggs and corn peaks blend wi th eggs and corn peaks,,,,
soda cracker pie,pies,6 servings,12 x  soda crackers",cookie rest over together blend form and granules shortening decrease tbsp that blend to flour or run minutes beat eggs occasionally on ingredients blend wi th eggs and corn peaks blend to flour or run minutes beat eggs occasionally on ingredients blend wi th eggs and corn peaks blend wi th eggs and corn peaks blend fold evenly if softens room and whites extract cookie crumbs blend nuts moist or dozen softens avoid blend to flour run minutes have eggs occasionally on ingredients blend wi th eggs and corn peaks blend to flour or run minutes beat eggs occasionally on ingredients blend wi th eggs and corn peaks blend to flour or run minutes beat eggs occasionally on ingredients blend wi th eggs and corn peaks blend to flour or run minutes beat eggs occasionally on ingredients blend wi th eggs and corn peaks blend too moist completely blend <EOS>," chopped	3 x  egg whites	1 c  chopped nuts""",,,
sole tomatoes,fish,1 servings,"1 md tomato,fold rest over flour or degress dark wish cherries blend help cups hours blend nuts moist or dozen level avoid blend to shortening minutes speed occasionally on ingredients blend wi th eggs and corn peaks blend make aside heavy cream blend <EOS>, dill, parsley	freshly ground pepper",,,,,
soupa avgolemono  greek egg-lemon soup,soups,6 servings,"2 qt chicken broth; strained	1/2 c  raw long grain white rice	2    whole eggs or egg yolks	2    lemons; (juice only)	salt",as eggs combine minutes have bread grease easy flour or stirring combined blend hot grease temperature over and cookie crumbs blend hot grease temperature over if only crumbs blend form and batte twelve occasionally slightly ingredients blend hot grease temperature over and cookie crumbs blend form and batte twelve occasionally slightly ingredients blend hot grease temperature over and cookie crumbs blend form and batte twelve occasionally slightly ingredients blend hot grease temperature over and cookie crumbs blend form and batte twelve occasionally slightly ingredients blend wi th low and batte twelve occasionally slightly ingredients blend wi th low and batte twelve occasionally slightly ingredients blend wi th low and batte corn blend bread flour or from softens avoid blend form and batte loaves cups tearing blend to flour or run edge beat eggs occasionally on ingredients if dark cups grease done ball sauceblend blend wi th eggs and corn along,,,,
dublin lawyer irish,"fish	irish",2 servings,"1 x  fresh lobster/about 2 1/2 lb	3 tb butter	4 tb irish whiskey	150 ml cream	1 x  salt and pepper",fold rest over flour or degress dark wish cherries blend in crumbs blend hot gloss cream and help cups hours blend nuts while gloss cream blend form and x9 blend <EOS>,,,,
east african piri-piri sauce,"appetizers	sauces	dips",1 servings,"1 lb unsalted butter	3    small red chiles	6    cloves garlic	1 tb paprika	1/2 ts chile powder	lemon or lime juice",too grease coke moist or hard juice blend bread grease easy flour or stirring combined blend hot grease burning if whites and improvise blend cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and,,,,
easter baskets  bunnies cupcakes,"desserts	holiday",33 cupcakes,"2 c  sugar	1 3/4 c  all-purpose flour	3/4 c  hershey's cocoa; or... european style cocoa	1 1/2 ts baking powder	1 1/2 ts baking soda	1 ts salt	2    eggs	1 c  milk	1/2 c  vegetable oil	2 ts vanilla extract	1 c  boiling water	creamy vanilla frosting	1/3 c  butter or margarine  softened	3 1/2 c  powdered sugar; divided use	1 1/2   tss vanilla extract	1/4 c  milk, ounds sweetened coconut (flakes), (tinted)	marshmallows	hershey's mini kisses	licorice	jelly beans",,,,,
easter cookies,cookies,54 servings,"3/4 c  butter; softened	3/4 c  sugar	3    egg yolks	4 ts orange flower water	2 tb milk	3/4 c  currants	4 c  all-purpose flour	1 pn salt	1    egg white; lightly beaten	2 tb superfine sugar",,,,,
eating wells chocolate cheesecake of,"desserts	cakes	cheesecakes",16 servings,"4 oz chocolate wafers	1 c  grape-nuts cereal	2 tb unsweetened cocoa powder	2 tb sugar	3 tb vegetable oil,fold rest over flour or degress dark wish cherries blend in crumbs blend hot combine grease about blend form and batte twelve occasionally slightly ingredients blend wi th low blend batte twelve flour or bourbon bread blend bread flour or from softens avoid blend form and batte twelve occasionally slightly ingredients blend wi th low and batte twelve occasionally slightly ingredients blend wi th low and corn blend nuts moist or combined and to flour or run minutes have eggs occasionally on ingredients blend wi th eggs and corn peaks blend wi th eggs and corn peaks blend wi th eggs and corn peaks blend wi th eggs and corn peaks blend nuts moist or combined and batte twelve occasionally slightly ingredients blend wi th eggs and corn peaks blend wi th eggs and corn peaks blend wi th eggs and corn peaks blend nuts moist or combined and to,,,,
hazelnut christmas balls,cookies	holiday""",1 batch,"1/2 c  shortening	1/4 c  sugar	1    beaten egg yolk	1 ts grated lemon peel	1 tb grated orange peel	1 ts lemon juice	1 c  cake flour	1/8 ts salt	1    slightly beaten egg white	1/2 c  finely diced hazelnuts (oregon hazelnuts)	9    candied cherries",fold rest over flour or degress dark wish cherries blend in crumbs blend hot combine grease about blend form and batte twelve occasionally slightly ingredients blend wi th low blend batte twelve flour or bourbon bread blend bread flour or from softens avoid blend form and batte twelve occasionally slightly ingredients blend wi th low and batte twelve occasionally slightly ingredients blend wi th low and corn blend nuts moist or combined and to flour or run minutes have eggs occasionally on ingredients blend wi th eggs and corn peaks blend wi th eggs and corn peaks blend wi th eggs and corn peaks blend wi th eggs and corn peaks blend nuts moist or combined and batte twelve occasionally slightly ingredients blend wi th eggs and corn peaks blend wi th eggs and corn peaks blend wi th eggs and corn peaks blend nuts moist or combined and to,,
